image,condition,repeat,semantic_shift
500px-Kuwaiti_man.jpg,India,3,0.1387718915939331
500px-Kuwaiti_man.jpg,Saudi Arabia,1,0.10398054122924805
500px-Kuwaiti_man.jpg,Saudi Arabia,2,0.07459414005279541
500px-Kuwaiti_man.jpg,Saudi Arabia,3,0.22315293550491333
500px-Kuwaiti_man.jpg,United Kingdom,1,0.26188570261001587
500px-Kuwaiti_man.jpg,United Kingdom,2,0.10892605781555176
500px-Kuwaiti_man.jpg,United Kingdom,3,0.27175605297088623
500px-An_Iranian_woman_dancing_in_a_Qashqai_dress.jpg,Nigeria,1,0.1819387674331665
500px-An_Iranian_woman_dancing_in_a_Qashqai_dress.jpg,Nigeria,2,0.12251913547515869
500px-An_Iranian_woman_dancing_in_a_Qashqai_dress.jpg,Nigeria,3,0.2918761372566223
500px-An_Iranian_woman_dancing_in_a_Qashqai_dress.jpg,India,1,0.1092672348022461
500px-An_Iranian_woman_dancing_in_a_Qashqai_dress.jpg,India,2,0.19157624244689941
500px-An_Iranian_woman_dancing_in_a_Qashqai_dress.jpg,India,3,0.2379143238067627
500px-An_Iranian_woman_dancing_in_a_Qashqai_dress.jpg,Saudi Arabia,1,0.17650938034057617
500px-An_Iranian_woman_dancing_in_a_Qashqai_dress.jpg,Saudi Arabia,2,0.12538444995880127
500px-An_Iranian_woman_dancing_in_a_Qashqai_dress.jpg,Saudi Arabia,3,0.30648237466812134
500px-An_Iranian_woman_dancing_in_a_Qashqai_dress.jpg,United Kingdom,1,0.15067148208618164
500px-An_Iranian_woman_dancing_in_a_Qashqai_dress.jpg,United Kingdom,2,0.12836813926696777
500px-An_Iranian_woman_dancing_in_a_Qashqai_dress.jpg,United Kingdom,3,0.20571881532669067
500px-Scottish_piper.jpg,Nigeria,1,0.08217835426330566
500px-Scottish_piper.jpg,Nigeria,2,0.12290138006210327
500px-Scottish_piper.jpg,Nigeria,3,0.1795218586921692
500px-Scottish_piper.jpg,India,1,0.0960504412651062
500px-Scottish_piper.jpg,India,2,0.09777313470840454
500px-Scottish_piper.jpg,India,3,0.16409456729888916
500px-Scottish_piper.jpg,Saudi Arabia,1,0.1974480152130127
500px-Scottish_piper.jpg,Saudi Arabia,2,0.11678045988082886
500px-Scottish_piper.jpg,Saudi Arabia,3,0.15960675477981567
500px-Scottish_piper.jpg,United Kingdom,1,0.11880224943161011
500px-Scottish_piper.jpg,United Kingdom,2,0.12438297271728516
500px-Scottish_piper.jpg,United Kingdom,3,0.20904141664505005
500px-Young_Greek_Woman_in_Traditional_Red_Dress_–_Cultural_Portrait.jpg,Nigeria,1,0.07842624187469482
500px-Young_Greek_Woman_in_Traditional_Red_Dress_–_Cultural_Portrait.jpg,Nigeria,2,0.12589824199676514
500px-Young_Greek_Woman_in_Traditional_Red_Dress_–_Cultural_Portrait.jpg,Nigeria,3,0.16996508836746216
500px-Young_Greek_Woman_in_Traditional_Red_Dress_–_Cultural_Portrait.jpg,India,1,0.12195277214050293
500px-Young_Greek_Woman_in_Traditional_Red_Dress_–_Cultural_Portrait.jpg,India,2,0.09269165992736816
500px-Young_Greek_Woman_in_Traditional_Red_Dress_–_Cultural_Portrait.jpg,India,3,0.18557345867156982
500px-Young_Greek_Woman_in_Traditional_Red_Dress_–_Cultural_Portrait.jpg,Saudi Arabia,1,0.1575465202331543
500px-Young_Greek_Woman_in_Traditional_Red_Dress_–_Cultural_Portrait.jpg,Saudi Arabia,2,0.058206140995025635
500px-Young_Greek_Woman_in_Traditional_Red_Dress_–_Cultural_Portrait.jpg,Saudi Arabia,3,0.25327861309051514
500px-Young_Greek_Woman_in_Traditional_Red_Dress_–_Cultural_Portrait.jpg,United Kingdom,1,0.3089519739151001
500px-Young_Greek_Woman_in_Traditional_Red_Dress_–_Cultural_Portrait.jpg,United Kingdom,2,0.15738338232040405
500px-Young_Greek_Woman_in_Traditional_Red_Dress_–_Cultural_Portrait.jpg,United Kingdom,3,0.20278728008270264
